Date,Mileage,time_corr,pace_min,Month,Day,month.day,numRun,highest,rpd,firstRun,numYear
2012-01-01,3.1,0:19:05,6.155913978494623,1,1,1/1,1,0,1,1,1
2013-01-01,4.23,0:31:19,7.403467297084318,1,1,1/1,2,0,1,1,2
2016-01-01,5.7,0:38:22,6.730994152046784,1,1,1/1,3,0,1,1,3
2017-01-01,6.04,0:44:35,7.381346578366446,1,1,1/1,4,0,1,1,4
2018-01-01,6,0:42:00,7,1,1,1/1,5,0,1,1,5
2019-01-01,7.25,NA,NA,1,1,1/1,6,0,1,1,6
2021-01-01,6.82,0:48:44,7.145650048875855,1,1,1/1,7,1,1,1,7
2016-01-02,7.22,0:49:50,6.9021237303785785,1,2,1/2,1,0,1,1,1
2017-01-02,5.17,0:38:55,7.527401676337846,1,2,1/2,2,0,1,1,2
2018-01-02,6,0:44:45,7.458333333333333,1,2,1/2,3,0,1,1,3
2019-01-02,9.1,NA,NA,1,2,1/2,4,0,1,1,4
2021-01-02,7.09,0:53:35,7.557592853784673,1,2,1/2,5,1,1,1,5
2015-01-03,3.1,0:19:23,6.25268817204301,1,3,1/3,1,0,1,1,1
2015-01-03,1.75,NA,NA,1,3,1/3,2,0,2,0,1
2016-01-03,6.32,0:43:28,6.877637130801688,1,3,1/3,3,0,1,1,2
2017-01-03,7.1,0:45:17,6.377934272300469,1,3,1/3,4,0,1,1,3
2018-01-03,6.48,0:42:09,6.50462962962963,1,3,1/3,5,0,1,1,4
2019-01-03,9.1,NA,NA,1,3,1/3,6,0,1,1,5
2020-01-03,4.35,0:32:30,7.471264367816093,1,3,1/3,7,1,1,1,6
2010-01-04,1.3,0:17:00,13.076923076923077,1,4,1/4,1,0,1,1,1
2011-01-04,3.1,0:22:32,7.268817204301075,1,4,1/4,2,0,1,1,2
2015-01-04,7.38,NA,NA,1,4,1/4,3,0,1,1,3
2017-01-04,9.56,1:12:16,7.5592747559274756,1,4,1/4,4,0,1,1,4
2018-01-04,5.28,0:43:40,8.270202020202019,1,4,1/4,5,0,1,1,5
2019-01-04,9.3,NA,NA,1,4,1/4,6,0,1,1,6
2021-01-04,7,0:53:48,7.685714285714286,1,4,1/4,7,1,1,1,7
2010-01-05,2.6,0:28:00,10.769230769230768,1,5,1/5,1,0,1,1,1
2013-01-05,5.09,0:43:38,8.57236411263916,1,5,1/5,2,0,1,1,2
2015-01-05,4,0:29:59,7.495833333333334,1,5,1/5,3,0,1,1,3
2016-01-05,5.62,0:46:43,8.312574139976276,1,5,1/5,4,0,1,1,4
2018-01-05,4.02,0:28:29,7.085406301824213,1,5,1/5,5,0,1,1,5
2019-01-05,9.3,NA,NA,1,5,1/5,6,0,1,1,6
