Date,Mileage,Time,Month,Day,numRun,highest,onePerYear,firstRun,numYear
1/1/12,3.1,19:05,1,1,1,0,FALSE,1,1
1/1/13,4.23,31:19:00,1,1,2,0,FALSE,1,2
1/1/16,5.7,38:22:00,1,1,3,0,FALSE,1,3
1/1/17,6.04,44:35:00,1,1,4,0,FALSE,1,4
1/1/18,6,42:00:00,1,1,5,0,FALSE,1,5
1/1/19,7.25,,1,1,6,0,FALSE,1,6
1/1/21,6.82,48:44:00,1,1,7,1,FALSE,1,7
1/2/16,7.22,49:50:00,1,2,1,0,FALSE,1,1
1/2/17,5.17,38:55:00,1,2,2,0,FALSE,1,2
1/2/18,6,44:45:00,1,2,3,0,FALSE,1,3
1/2/19,9.1,,1,2,4,0,FALSE,1,4
1/2/21,7.09,53:35:00,1,2,5,1,FALSE,1,5
1/3/15,1.75,,1,3,2,0,FALSE,1,1
1/3/15,3.1,19:23,1,3,1,0,TRUE,0,1
1/3/16,6.32,43:28:00,1,3,3,0,FALSE,1,2
1/3/17,7.1,45:17:00,1,3,4,0,FALSE,1,3
1/3/18,6.48,42:09:00,1,3,5,0,FALSE,1,4
1/3/19,9.1,,1,3,6,0,FALSE,1,5
1/3/20,4.35,32:30:00,1,3,7,1,FALSE,1,6
1/4/10,1.3,17:00,1,4,1,0,FALSE,1,1
1/4/11,3.1,22:32,1,4,2,0,FALSE,1,2
1/4/15,7.38,,1,4,3,0,FALSE,1,3
1/4/17,9.56,1:12:16,1,4,4,0,FALSE,1,4
1/4/18,5.28,43:40:00,1,4,5,0,FALSE,1,5
1/4/19,9.3,,1,4,6,0,FALSE,1,6
1/4/21,7,53:48:00,1,4,7,1,FALSE,1,7
1/5/10,2.6,28:00:00,1,5,1,0,FALSE,1,1
1/5/13,5.09,43:38:00,1,5,2,0,FALSE,1,2
1/5/15,4,29:59:00,1,5,3,0,FALSE,1,3
1/5/16,5.62,46:43:00,1,5,4,0,FALSE,1,4
1/5/18,4.02,28:29:00,1,5,5,0,FALSE,1,5
1/5/19,9.3,,1,5,6,0,FALSE,1,6
1/5/21,7.43,54:13:00,1,5,7,1,FALSE,1,7
1/6/15,4.32,32:34:00,1,6,1,0,FALSE,1,1
1/6/16,6.33,,1,6,2,0,FALSE,1,2
1/6/18,10.2,1:14:56,1,6,3,0,FALSE,1,3
1/6/19,12.05,,1,6,4,0,FALSE,1,4
1/6/21,6,40:44:00,1,6,5,1,FALSE,1,5
1/7/10,2.6,28:00:00,1,7,1,0,FALSE,1,1
1/7/11,3.1,24:18:00,1,7,2,0,FALSE,1,2
1/7/16,8.09,55:43:00,1,7,3,0,FALSE,1,3
1/7/20,4.72,33:55:00,1,7,4,0,FALSE,1,4
1/7/21,8,1:06:54,1,7,5,1,FALSE,1,5
1/8/12,4.1,33:34:00,1,8,1,0,FALSE,1,1
1/8/13,4.25,36:51:00,1,8,2,0,FALSE,1,2
1/8/15,5.9,52:39:00,1,8,3,0,FALSE,1,3
1/8/16,6.22,46:45:00,1,8,4,0,FALSE,1,4
1/8/18,8.11,59:41:00,1,8,5,0,FALSE,1,5
1/8/19,9,,1,8,6,0,FALSE,1,6
1/8/20,8.6,,1,8,7,0,FALSE,1,7
1/8/21,6,45:27:00,1,8,8,1,FALSE,1,8
1/9/15,4.97,37:36:00,1,9,1,0,FALSE,1,1
1/9/16,6,43:50:00,1,9,2,0,FALSE,1,2
1/9/18,10.07,,1,9,3,0,FALSE,1,3
1/9/19,9,,1,9,4,0,FALSE,1,4
1/9/20,4.72,35:18:00,1,9,5,0,FALSE,1,5
1/9/21,11.12,1:17:22,1,9,6,1,FALSE,1,6
1/10/12,5,36:27:00,1,10,1,0,FALSE,1,1
1/10/13,3.3,25:30:00,1,10,2,0,FALSE,1,2
1/10/15,4,,1,10,3,0,FALSE,1,3
1/10/16,4.04,31:18:00,1,10,4,0,FALSE,1,4
1/10/18,8,1:02:32,1,10,6,0,FALSE,1,5
1/10/18,3.16,24:25:00,1,10,5,0,TRUE,0,5
1/10/19,7,,1,10,8,0,FALSE,1,6
1/10/19,3,,1,10,7,0,TRUE,0,6
1/10/20,6.04,42:41:00,1,10,9,1,FALSE,1,7
1/11/10,1.3,,1,11,1,0,FALSE,1,1
1/11/15,6.82,48:26:00,1,11,2,0,FALSE,1,2
1/11/17,2.57,20:00,1,11,3,0,FALSE,1,3
1/11/18,7.01,,1,11,4,0,FALSE,1,4
1/11/19,10.35,,1,11,5,0,FALSE,1,5
1/11/20,6.13,43:08:00,1,11,6,0,FALSE,1,6
1/11/21,7.49,48:40:00,1,11,7,1,FALSE,1,7
1/12/13,1,5:39,1,12,1,0,FALSE,1,1
1/12/14,3.71,31:54:00,1,12,2,0,FALSE,1,2
1/12/16,9.3,1:02:30,1,12,3,0,FALSE,1,3
1/12/17,5.5,41:24:00,1,12,4,0,FALSE,1,4
1/12/18,8.04,57:44:00,1,12,5,0,FALSE,1,5
1/12/19,8,,1,12,6,0,FALSE,1,6
1/12/21,7.64,50:45:00,1,12,7,1,FALSE,1,7
1/13/11,3.1,23:00,1,13,1,0,FALSE,1,1
1/13/12,3.1,19:58,1,13,2,0,FALSE,1,2
1/13/13,3.1,18:53,1,13,3,0,FALSE,1,3
1/13/15,4.1,31:46:00,1,13,4,0,FALSE,1,4
1/13/16,7.06,53:57:00,1,13,5,0,FALSE,1,5
1/13/17,7.5,,1,13,6,0,FALSE,1,6
1/13/18,12.5,1:27:04,1,13,7,0,FALSE,1,7
1/13/19,10.61,,1,13,8,0,FALSE,1,8
1/13/20,5.1,33:49:00,1,13,9,0,FALSE,1,9
1/13/21,6.01,43:59:00,1,13,10,1,FALSE,1,10
1/14/10,2.6,26:00:00,1,14,1,0,FALSE,1,1
1/14/12,5.6,39:08:00,1,14,2,0,FALSE,1,2
1/14/14,3.6,26:19:00,1,14,3,0,FALSE,1,3
1/14/15,3.99,28:52:00,1,14,4,0,FALSE,1,4
1/14/16,7.26,52:17:00,1,14,5,0,FALSE,1,5
1/14/17,7.32,1:00:00,1,14,6,0,FALSE,1,6
1/14/19,11.06,,1,14,7,0,FALSE,1,7
1/14/20,6.02,43:23:00,1,14,8,1,FALSE,1,8
1/15/15,6,,1,15,1,0,FALSE,1,1
1/15/16,7.85,,1,15,2,0,FALSE,1,2
1/15/18,8,52:55:00,1,15,3,0,FALSE,1,3
1/15/19,9.5,,1,15,4,0,FALSE,1,4
1/15/21,8.42,1:02:49,1,15,5,1,FALSE,1,5
1/16/10,4.05,35:48:00,1,16,1,0,FALSE,1,1
1/16/12,5,32:52:00,1,16,2,0,FALSE,1,2
1/16/15,1.82,,1,16,5,0,FALSE,1,3
1/16/15,1.99,10:22,1,16,4,0,TRUE,0,3
1/16/15,0.62,2:58,1,16,3,0,TRUE,0,3
1/16/16,10,1:10:42,1,16,6,0,FALSE,1,4
1/16/17,6,43:47:00,1,16,7,0,FALSE,1,5
1/16/18,10.53,1:08:35,1,16,8,0,FALSE,1,6
1/16/19,9.88,,1,16,9,1,FALSE,1,7
1/17/11,4.2,36:30:00,1,17,1,0,FALSE,1,1
1/17/15,7.34,1:00:01,1,17,2,0,FALSE,1,2
1/17/16,6,43:54:00,1,17,3,0,FALSE,1,3
1/17/17,7.25,50:23:00,1,17,4,0,FALSE,1,4
1/17/18,9,1:05:04,1,17,6,0,FALSE,1,5
1/17/18,3.27,,1,17,5,0,TRUE,0,5
1/17/19,8,,1,17,7,0,FALSE,1,6
1/17/20,8.13,59:33:00,1,17,8,0,FALSE,1,7
1/17/21,11.11,1:25:01,1,17,9,1,FALSE,1,8
1/18/11,3.05,22:19,1,18,1,0,FALSE,1,1
1/18/12,3.7,26:44:00,1,18,2,0,FALSE,1,2
1/18/13,1,,1,18,3,0,FALSE,1,3
1/18/17,8.07,,1,18,4,0,FALSE,1,4
1/18/18,7.03,49:59:00,1,18,5,0,FALSE,1,5
1/18/19,5.69,,1,18,7,0,FALSE,1,6
1/18/19,3.11,16:09,1,18,6,0,TRUE,0,6
1/18/21,7.75,49:11:00,1,18,8,1,FALSE,1,7
1/19/10,2.6,24:00:00,1,19,1,0,FALSE,1,1
1/19/16,9.3,,1,19,2,0,FALSE,1,2
1/19/17,6.29,47:20:00,1,19,3,0,FALSE,1,3
1/19/18,7.05,53:55:00,1,19,4,0,FALSE,1,4
1/19/19,13,1:37:30,1,19,5,0,FALSE,1,5
1/19/20,9.61,1:04:44,1,19,6,0,FALSE,1,6
1/19/21,7.42,53:30:00,1,19,7,1,FALSE,1,7
1/20/13,6,,1,20,1,0,FALSE,1,1
1/20/15,3.66,25:05:00,1,20,2,0,FALSE,1,2
1/20/16,7.64,57:30:00,1,20,3,0,FALSE,1,3
1/20/17,6.18,45:13:00,1,20,4,0,FALSE,1,4
1/20/18,9.39,,1,20,5,0,FALSE,1,5
1/20/19,8,57:19:00,1,20,6,0,FALSE,1,6
1/20/20,6.68,50:00:00,1,20,7,0,FALSE,1,7
1/20/21,8.26,56:09:00,1,20,8,1,FALSE,1,8
1/21/12,7.35,53:48:00,1,21,1,0,FALSE,1,1
1/21/13,4.2,34:23:00,1,21,2,0,FALSE,1,2
1/21/15,4.1,30:42:00,1,21,3,0,FALSE,1,3
1/21/16,7.09,53:58:00,1,21,4,0,FALSE,1,4
1/21/17,8.08,,1,21,6,0,FALSE,1,5
1/21/17,1,4:47,1,21,5,0,TRUE,0,5
1/21/18,12.11,1:22:10,1,21,7,0,FALSE,1,6
1/21/19,5,36:19:00,1,21,8,0,FALSE,1,7
1/21/20,5,35:53:00,1,21,9,0,FALSE,1,8
1/21/21,7,48:15:00,1,21,10,1,FALSE,1,9
1/22/11,3.75,,1,22,1,0,FALSE,1,1
1/22/15,4.9,36:45:00,1,22,2,0,FALSE,1,2
1/22/16,6.95,59:12:00,1,22,3,0,FALSE,1,3
1/22/17,10,1:13:40,1,22,4,0,FALSE,1,4
1/22/18,6.32,51:49:00,1,22,5,0,FALSE,1,5
1/22/20,6.11,43:23:00,1,22,6,0,FALSE,1,6
1/22/21,7.18,50:19:00,1,22,7,1,FALSE,1,7
